date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:19	148481/148481	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Oct%202021%2018:41:11%20GMT	https://bellevision.com.br/portfolio/	C:/Meus%20Sites/cap/bellevision.com.br/portfolio/index.html	(from https://bellevision.com.br/)
15:41:19	324372/324372	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2017:51:58%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/01a4fd53b9dffecbdc1fc3a1436841d6a503a89410.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/01a4fd53b9dffecbdc1fc3a1436841d6a503a89410.jpg	(from https://bellevision.com.br/)
15:41:19	1335943/1335943	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:01:02%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/01a2d7c58006c09d036dca7de48588ef63af89134d.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/01a2d7c58006c09d036dca7de48588ef63af89134d.jpg	(from https://bellevision.com.br/)
15:50:50	913/913	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Oct%202021%2018:50:43%20GMT	https://www.google.com/recaptcha/api.js?onload=anr_onloadCallback&render=explicit	C:/Meus%20Sites/cap/www.google.com/recaptcha/api97a4.js	(from https://bellevision.com.br/)
15:50:50	1203/1203	---M-Z	200	added ('OK')	text/plain	etag:%22852f5c2c61db68d8131496f5f9cedb4a%22	https://phonetrack-static.s3.sa-east-1.amazonaws.com/10ffbba2ec9025b945acc154f3403aec.js	C:/Meus%20Sites/cap/phonetrack-static.s3.sa-east-1.amazonaws.com/10ffbba2ec9025b945acc154f3403aec.js	(from https://bellevision.com.br/)
16:13:26	117719/117719	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:10%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/013c9e0e0862f1c645c42e3fe6272f38c916c18931.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/013c9e0e0862f1c645c42e3fe6272f38c916c18931.jpg	(from https://bellevision.com.br/portfolio/)
16:13:27	174631/174631	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:14%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/014b19d8134dfd844d03dfe7eabccfeb3902a24fed.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/014b19d8134dfd844d03dfe7eabccfeb3902a24fed.jpg	(from https://bellevision.com.br/portfolio/)
16:13:28	686784/686784	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:12%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/013ee4e4dbbdcf4a99b30013970603a4d2ddb86568.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/013ee4e4dbbdcf4a99b30013970603a4d2ddb86568.jpg	(from https://bellevision.com.br/portfolio/)
16:13:28	316281/316281	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:16%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/014cab863be4e83d720e49d87bda267b5f01c24fe7.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/014cab863be4e83d720e49d87bda267b5f01c24fe7.jpg	(from https://bellevision.com.br/portfolio/)
16:13:30	214528/214528	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:18%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/014dcd89ec30a5f5abb796d942316c6a24d6fc49cf.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/014dcd89ec30a5f5abb796d942316c6a24d6fc49cf.jpg	(from https://bellevision.com.br/portfolio/)
16:13:30	948456/948456	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:14%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/014b8981e3c48d931e079ade761eac604e921f3126.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/014b8981e3c48d931e079ade761eac604e921f3126.jpg	(from https://bellevision.com.br/portfolio/)
16:13:32	745935/745935	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:20%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/015daf1171a131e4cafd310670e29097907456dee7.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/015daf1171a131e4cafd310670e29097907456dee7.jpg	(from https://bellevision.com.br/portfolio/)
16:13:32	139677/139677	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:22%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/015f2561bcb530fd8e1542d1ca41aaa731f3ad6523.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/015f2561bcb530fd8e1542d1ca41aaa731f3ad6523.jpg	(from https://bellevision.com.br/portfolio/)
16:13:32	1047420/1047420	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:20%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/015bae435f9f562fa841b2cb4de2d18cdb7d5fdbe8.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/015bae435f9f562fa841b2cb4de2d18cdb7d5fdbe8.jpg	(from https://bellevision.com.br/portfolio/)
16:13:33	152173/152173	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:24%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/016b71dcdab5f9c9bc830b5835bff81e9d4f6db0aa.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/016b71dcdab5f9c9bc830b5835bff81e9d4f6db0aa.jpg	(from https://bellevision.com.br/portfolio/)
16:13:36	813333/813333	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:22%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/016b2bd8f366eb78dee661a635855af81e705b4b7f.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/016b2bd8f366eb78dee661a635855af81e705b4b7f.jpg	(from https://bellevision.com.br/portfolio/)
16:13:37	460790/460790	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:26%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/016b21147adaaa6fedfd694c270e91c70e258f5feb.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/016b21147adaaa6fedfd694c270e91c70e258f5feb.jpg	(from https://bellevision.com.br/portfolio/)
16:13:39	872579/872579	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:26%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/016b97db636501414a9bec301e1f2c231c89d133e2.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/016b97db636501414a9bec301e1f2c231c89d133e2.jpg	(from https://bellevision.com.br/portfolio/)
16:13:39	994198/994198	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:28%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/017e7f9a93a73eea9e437d1c05f14d88580825d46f.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/017e7f9a93a73eea9e437d1c05f14d88580825d46f.jpg	(from https://bellevision.com.br/portfolio/)
16:13:40	96211/96211	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:30%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/017ee2b35d5b11d637bbb9db409b824d4b082c1d6c-Copia.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/017ee2b35d5b11d637bbb9db409b824d4b082c1d6c-Copia.jpg	(from https://bellevision.com.br/portfolio/)
16:13:40	994198/994198	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:30%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/017e7f9a93a73eea9e437d1c05f14d88580825d46f-Copia.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/017e7f9a93a73eea9e437d1c05f14d88580825d46f-Copia.jpg	(from https://bellevision.com.br/portfolio/)
16:13:41	253961/253961	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:32%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/018e425424a0294baf4a460d2b9bc4f00cf3b0eda7.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/018e425424a0294baf4a460d2b9bc4f00cf3b0eda7.jpg	(from https://bellevision.com.br/portfolio/)
16:13:41	442932/442932	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:32%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/018a0c2837beb185e7cca9e2ffbe9f78e4f3f29ea4-Copia.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/018a0c2837beb185e7cca9e2ffbe9f78e4f3f29ea4-Copia.jpg	(from https://bellevision.com.br/portfolio/)
16:13:41	323409/323409	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:34%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/018f2788c68d88dfbf86c71d870d53dd21b466e335.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/018f2788c68d88dfbf86c71d870d53dd21b466e335.jpg	(from https://bellevision.com.br/portfolio/)
16:13:41	122286/122286	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:34%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0103ea302be4e5dec6377dfdb5a8b1ade9251f1f33.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0103ea302be4e5dec6377dfdb5a8b1ade9251f1f33.jpg	(from https://bellevision.com.br/portfolio/)
16:13:41	185809/185809	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:36%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0104fc27c148de020c593d284fc3ad1853ba9aa674.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0104fc27c148de020c593d284fc3ad1853ba9aa674.jpg	(from https://bellevision.com.br/portfolio/)
16:13:41	186104/186104	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:36%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0119f2e911061fc47fd8bccf171c31b70df233f470.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0119f2e911061fc47fd8bccf171c31b70df233f470.jpg	(from https://bellevision.com.br/portfolio/)
16:13:42	534093/534093	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:36%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0124c8e7d17b744c34062047249dea8bc926a7064c.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0124c8e7d17b744c34062047249dea8bc926a7064c.jpg	(from https://bellevision.com.br/portfolio/)
16:13:42	310892/310892	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:38%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0127a51056084eb40d8964c3d0db147bd5c5e942e2.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0127a51056084eb40d8964c3d0db147bd5c5e942e2.jpg	(from https://bellevision.com.br/portfolio/)
16:13:43	354519/354519	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:42%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0139aec2a51cf312f1b5d505354c97355c12d64619.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0139aec2a51cf312f1b5d505354c97355c12d64619.jpg	(from https://bellevision.com.br/portfolio/)
16:13:43	1242495/1242495	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:40%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0138b5b8f59e99d8bf999dcb2698092cdb3026aaf3.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0138b5b8f59e99d8bf999dcb2698092cdb3026aaf3.jpg	(from https://bellevision.com.br/portfolio/)
16:13:44	1031620/1031620	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:44%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0159bf657756dbe3829d36ff12ac607b5c8f09eb53.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0159bf657756dbe3829d36ff12ac607b5c8f09eb53.jpg	(from https://bellevision.com.br/portfolio/)
